State,2018 Overall Homeless,2018 Under 18,2018 Age 18 to 24,2018 Over 24,2018 Female,2018 Male,2018 Transgender,2018 NonConforming,2018 NonHispanic_NonLatino,2018 Hispanic_Latino,2018 White,2018 Black or African American,2018 Asian,2018 American Indian or Alaska Native,2018 Native Hawaiian or Other Pacific Islander,2018 Multiple Races,2017 Overall Homeless,2017 Under 18,2017 Age 18 to 24,2017 Over 24,2017 Female,2017 Male,2017 Transgender,2017 NonConforming,2017 NonHispanic_NonLatino,2017 Hispanic_Latino,2017 White,2017 Black or African American,2017 Asian,2017 American Indian or Alaska Native,2017 Native Hawaiian or Other Pacific Islander,2017 Multiple Races,2016 Overall Homeless,"Overall Homeless - Under 18, 2016",2016 Age 18 to 24,2016 Over 24,2016 Female,2016 Male,2016 Transgender,2016 NonHispanic_NonLatino,2016 Hispanic_Latino,2016 White,2016 Black or African American,2016 Asian,2016 American Indian or Alaska Native,2016 Native Hawaiian or Other Pacific Islander,2016 Multiple Races,2015 Overall Homeless,2015 Under 18,2015 Age 18 to 24,2015 Over 24,2015 Female,2015 Male,2015 Transgender,2015 NonHispanic_NonLatino,2015 Hispanic_Latino,2015 White,2015 Black or African American,2015 Asian,2015 American Indian or Alaska Native,2015 Native Hawaiian or Other Pacific Islander,2015 Multiple Races
MD,7144.0,1399.0,397.0,5348.0,2643.0,4476.0,23.0,2.0,6756.0,388.0,2602.0,4166.0,41.0,51.0,24.0,260.0,7247.0,1370.0,422.0,5455.0,2727.0,4505.0,12.0,3.0,6842.0,405.0,2479.0,4341.0,40.0,54.0,22.0,311.0,7689.0,1705.0,463.0,5521.0,2922.0,4760.0,7.0,6970.0,719.0,2688.0,4620.0,34.0,55.0,19.0,273.0,8390.0,1908.0,664.0,5818.0,3245.0,5139.0,6.0,7887.0,503.0,3016.0,4920.0,58.0,53.0,36.0,307.0
ME,2516.0,654.0,184.0,1678.0,1174.0,1329.0,9.0,4.0,2406.0,110.0,2041.0,293.0,8.0,35.0,0.0,139.0,2280.0,590.0,191.0,1499.0,1038.0,1226.0,12.0,4.0,2192.0,88.0,1853.0,284.0,11.0,38.0,10.0,84.0,2241.0,580.0,201.0,1460.0,1007.0,1231.0,3.0,2171.0,70.0,1872.0,237.0,9.0,42.0,5.0,76.0,2372.0,637.0,245.0,1490.0,1145.0,1218.0,9.0,2297.0,75.0,2036.0,213.0,6.0,25.0,8.0,84.0
MI,8351.0,2173.0,749.0,5429.0,3498.0,4841.0,10.0,2.0,7877.0,474.0,3775.0,3980.0,27.0,102.0,14.0,453.0,9051.0,2340.0,782.0,5929.0,3723.0,5314.0,13.0,1.0,8554.0,497.0,3826.0,4693.0,22.0,112.0,5.0,393.0,9316.0,2381.0,956.0,5979.0,3854.0,5446.0,16.0,8792.0,524.0,4112.0,4637.0,31.0,89.0,33.0,414.0,10516.0,2686.0,1224.0,6606.0,4309.0,6203.0,4.0,9986.0,530.0,4612.0,5343.0,29.0,79.0,22.0,431.0
MN,7243.0,2254.0,890.0,4099.0,3278.0,3941.0,15.0,9.0,6695.0,548.0,2698.0,3141.0,114.0,699.0,49.0,542.0,7668.0,2590.0,1103.0,3975.0,3617.0,4029.0,17.0,5.0,7104.0,564.0,2685.0,3296.0,110.0,1018.0,16.0,543.0,7341.0,2563.0,934.0,3844.0,3481.0,3841.0,19.0,6663.0,678.0,2780.0,3306.0,82.0,709.0,72.0,392.0,7546.0,2607.0,993.0,3946.0,3693.0,3826.0,27.0,6937.0,609.0,2641.0,3466.0,117.0,663.0,29.0,630.0
MO,6032.0,1438.0,611.0,3983.0,2645.0,3371.0,14.0,2.0,5758.0,274.0,3196.0,2415.0,15.0,87.0,14.0,305.0,6226.0,1569.0,663.0,3994.0,2861.0,3338.0,18.0,9.0,5916.0,310.0,3141.0,2645.0,23.0,80.0,11.0,326.0,6441.0,1745.0,634.0,4062.0,2956.0,3479.0,6.0,6155.0,286.0,3539.0,2465.0,28.0,110.0,18.0,281.0,6722.0,1971.0,696.0,4055.0,3149.0,3572.0,1.0,6454.0,268.0,3641.0,2699.0,21.0,46.0,26.0,289.0
MS,1352.0,206.0,109.0,1037.0,502.0,829.0,20.0,1.0,1309.0,43.0,610.0,663.0,12.0,9.0,5.0,53.0,1472.0,252.0,60.0,1160.0,573.0,891.0,1.0,7.0,1461.0,11.0,611.0,811.0,4.0,29.0,0.0,17.0,1738.0,266.0,114.0,1358.0,712.0,1014.0,12.0,1718.0,20.0,647.0,1054.0,7.0,22.0,3.0,5.0,1983.0,340.0,105.0,1538.0,761.0,1222.0,0.0,1962.0,21.0,577.0,1372.0,2.0,10.0,14.0,8.0
MT,1405.0,247.0,151.0,1007.0,559.0,837.0,4.0,5.0,1305.0,100.0,956.0,38.0,2.0,238.0,8.0,163.0,1529.0,340.0,124.0,1065.0,624.0,898.0,4.0,3.0,1408.0,121.0,992.0,33.0,4.0,354.0,9.0,137.0,1418.0,350.0,123.0,945.0,599.0,818.0,1.0,1306.0,112.0,877.0,25.0,1.0,366.0,6.0,143.0,1709.0,374.0,225.0,1110.0,711.0,996.0,2.0,1579.0,130.0,1281.0,38.0,0.0,321.0,5.0,64.0
NC,9268.0,1762.0,647.0,6859.0,3516.0,5728.0,19.0,5.0,8791.0,477.0,3971.0,4801.0,41.0,122.0,31.0,302.0,8962.0,1883.0,571.0,6508.0,3567.0,5380.0,9.0,6.0,8444.0,518.0,3745.0,4553.0,37.0,190.0,17.0,420.0,9559.0,1994.0,650.0,6915.0,3774.0,5773.0,12.0,9127.0,432.0,3974.0,5072.0,31.0,145.0,15.0,322.0,10685.0,2295.0,841.0,7549.0,4185.0,6487.0,13.0,10147.0,538.0,4494.0,5711.0,57.0,173.0,17.0,233.0
ND,542.0,61.0,61.0,420.0,218.0,323.0,1.0,0.0,445.0,97.0,344.0,76.0,2.0,74.0,12.0,34.0,1089.0,178.0,84.0,827.0,272.0,811.0,2.0,4.0,1046.0,43.0,367.0,127.0,6.0,226.0,0.0,363.0,923.0,154.0,86.0,683.0,331.0,590.0,2.0,844.0,79.0,510.0,129.0,5.0,218.0,1.0,60.0,1305.0,265.0,152.0,888.0,456.0,843.0,6.0,1215.0,90.0,774.0,232.0,16.0,184.0,5.0,94.0
NE,2421.0,419.0,196.0,1806.0,936.0,1484.0,1.0,0.0,2111.0,310.0,1585.0,599.0,20.0,85.0,6.0,126.0,2501.0,501.0,225.0,1775.0,918.0,1580.0,3.0,0.0,2237.0,264.0,1664.0,579.0,20.0,122.0,4.0,112.0,2754.0,590.0,258.0,1906.0,980.0,1771.0,3.0,2392.0,362.0,1858.0,570.0,11.0,67.0,6.0,242.0,2744.0,635.0,292.0,1817.0,1012.0,1722.0,10.0,2347.0,397.0,1831.0,586.0,25.0,119.0,16.0,167.0
